Alamo Square Seafood Grill,37.7769876597265,-122.431572659491,False,94117,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/alamo-square-seafood-grill-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,608,[],seafood,qWpf0lVkmjBAOGmks8tE0w
Nopa,37.77483,-122.43746,False,94117,San Francisco,CA,$$$,4.0,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,4783,[],"newamerican,modern_european,desserts",ttarnopezxmp2ROB1N2PaA
Tsunami Panhandle,37.7769872,-122.4385184,False,94117,San Francisco,CA,$$$,3.5,https://www.yelp.com/biz/tsunami-panhandle-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,840,[],"sushi,japanese,seafood",NBdAqG4Kdqy0BrCrWa0xUg
Club Waziema,37.77462,-122.43805,False,94117,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/club-waziema-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,400,[],"ethiopian,lounges,musicvenues",6zXVo_uK_GVqN3Z0t5KFHQ
Bruno's Pizzeria,37.7821,-122.43263,False,94115,San Francisco,CA,$$,3.5,https://www.yelp.com/biz/brunos-pizzeria-san-francisco-3?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,210,"['pickup', 'delivery']","pizza,italian,sportsbars",miitrMzuWgi4nzNeb-yLNg
Petit Crenn,37.7762604,-122.4264908,False,94102,San Francisco,CA,$$$$,4.0,https://www.yelp.com/biz/petit-crenn-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,330,[],french,kiRsScNQs_UdDV6jPyeCWg
Uva Enoteca,37.7720139920712,-122.43152461946,False,94117,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/uva-enoteca-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,882,[],"italian,pizza",8FEy6ZgLlP9RlE_C_6KpKw
Mazzat,37.7753,-122.42621,False,94102,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/mazzat-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,449,[],"mediterranean,lebanese",Lxb2mz0Yay7y8HSmvJ7dmA
Fat Angel,37.783385291338,-122.433185588489,False,94115,San Francisco,CA,$$,4.0,https://www.yelp.com/biz/fat-angel-san-francisco?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,803,[],"wine_bars,gastropubs",W0mlelgnkSPU3ELhyzkXHA
The Progress,37.7836799,-122.43296,False,94115,San Francisco,CA,$$$$,4.0,https://www.yelp.com/biz/the-progress-san-francisco-2?adjust_creative=OvRCQGmWRwMIvAEILCAnZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=OvRCQGmWRwMIvAEILCAnZA,727,[],"newamerican,bars",CS0pUlk25RV2-vhKFFbxqA
